cod_pais,nom_pais,año,producto,unidad_id,nom_uni,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
32,Argentina,1993,grano de trigo canedal,t,tonelada,0,0,85,95,96,113,8,45,8,43,83,5
32,Argentina,1994,grano de trigo canedal,t,tonelada,28,62,74,8,70,55,76,76,75,51,36,33
32,Argentina,1995,grano de trigo canedal,t,tonelada,12,75,102,46,108,104,8,10,10,32,8,5
32,Argentina,1996,grano de trigo canedal,t,tonelada,0,55,58,81,79,87,67,81,49,52,202,976
32,Argentina,1997,grano de trigo canedal,t,tonelada,719,274,138,18,26,550,617,503,257,35,16,31
32,Argentina,1998,grano de trigo canedal,t,tonelada,145,84,327,329,94,109,70,31,60,579,71,77
32,Argentina,1999,grano de trigo canedal,t,tonelada,20,12,39,69,54,46,38,34,24,21,22,22
32,Argentina,2000,grano de trigo canedal,t,tonelada,93,11,37,58,27,30,37,49,16,551,523,24
32,Argentina,2001,grano de trigo canedal,t,tonelada,0,327,601,707,0,0,0,0,0,0,0,45
32,Argentina,2002,grano de trigo canedal,t,tonelada,268,162,3,3,4,0,0,0,0,0,0,237
32,Argentina,2003,grano de trigo canedal,t,tonelada,57,0,0,0,13,17,19,2,3,1,3,13
32,Argentina,2004,grano de trigo canedal,t,tonelada,8,11,16,18,20,9,8,16,88,50,429,275
32,Argentina,2005,grano de trigo canedal,t,tonelada,75,123,132,217,435,231,184,186,271,214,181,177
32,Argentina,2006,grano de trigo canedal,t,tonelada,151,134,209,192,214,288,262,218,212,242,439,2192
32,Argentina,2007,grano de trigo canedal,t,tonelada,5704,4110,3417,350,458,355,377,376,269,162,128,158
32,Argentina,2008,grano de trigo canedal,t,tonelada,138,201,130,172,165,72,147,113,82,120,74,120
32,Argentina,2009,grano de trigo canedal,t,tonelada,83,662,128,190,132,229,114,102,60,141,2788,87
32,Argentina,2010,grano de trigo canedal,t,tonelada,139,82,199,171,179,233,141,184,80,135,115,71
32,Argentina,2011,grano de trigo canedal,t,tonelada,92,243,207,209,254,110,308,212,450,597,787,904
32,Argentina,2012,grano de trigo canedal,t,tonelada,845,612,213,361,2146,1097,436,392,149,189,167,128
32,Argentina,2013,grano de trigo canedal,t,tonelada,105,100,115,255,250,152,209,110,120,190,160,55
32,Argentina,2014,grano de trigo canedal,t,tonelada,125,183,195,216,154,36,80,20,31,42,42,20
32,Argentina,2015,grano de trigo canedal,t,tonelada,636,636,25,25,25,25,44,320,90,76,255,224
32,Argentina,2016,grano de trigo canedal,t,tonelada,111,49,40,1,40,19,140,212,484,60,104,391
32,Argentina,2017,grano de trigo canedal,t,tonelada,64,145,156,258,324,287,189,274,161,220,200,80
32,Argentina,2018,grano de trigo canedal,t,tonelada,0,61,1,94,395,307,300,250,201,,,
